id	pays_id	annee	population
692	4	1976	9813152
693	5	1976	8731434
694	6	1976	10093551
695	7	1976	5065313
696	8	1976	61644624
697	9	1976	1434630
698	10	1976	3215200
699	11	1976	9106928
700	12	1976	35946425
701	13	1976	0
702	14	1976	4523436
703	15	1976	55588966
704	16	1976	497879
705	17	1976	2464529
706	18	1976	3314794
707	19	1976	360500
708	20	1976	10572094
709	21	1976	306551
710	22	1976	13733578
711	23	1976	7565489
712	24	1976	34184700
713	25	1976	9307810
714	26	1976	21445698
715	27	1976	1808707
716	28	1976	4763617
717	29	1976	4720492
718	30	1976	8208427
719	31	1976	56220920
720	32	1976	219262
721	33	1976	4017101
722	34	1976	0
723	35	1976	1769890
724	36	1976	2432027
725	37	1976	0
726	38	1976	40281507
727	39	1976	4004830
728	40	1976	1426000
729	41	1976	0
730	42	1976	0
731	43	1976	0
732	1	1977	399967581
733	2	1977	456170597
734	3	1977	296348308
735	4	1977	9823302
736	5	1977	8785763
737	6	1977	10158327
738	7	1977	5079879
739	8	1977	61441996
740	9	1977	1444522
741	10	1977	3260900
742	11	1977	9269372
743	12	1977	36329199
744	13	1977	0
745	14	1977	4548432
746	15	1977	55847553
747	16	1977	497600
748	17	1977	2477449
749	18	1977	3342533
750	19	1977	360962
751	20	1977	10625259
752	21	1977	304997
753	22	1977	13814495
754	23	1977	7565561
755	24	1977	34527900
756	25	1977	9403810
757	26	1977	21657569
758	27	1977	1831790
759	28	1977	4815396
760	29	1977	4730836
761	30	1977	8236144
762	31	1977	56203016
763	32	1977	221046
764	33	1977	4035202
765	34	1977	0
766	35	1977	1797145
767	36	1977	2485025
768	37	1977	0
769	38	1977	41102443
770	39	1977	4059247
771	40	1977	1466500
772	41	1977	0
773	42	1977	0
774	43	1977	0
775	1	1978	401903104
776	2	1978	458087072
777	3	1978	297555091
778	4	1978	9837413
779	5	1978	8822602
780	6	1978	10215183
781	7	1978	5096959
782	8	1978	61352745
783	9	1978	1455900
784	10	1978	3303500
785	11	1978	9347586
786	12	1978	36694077
787	13	1978	0
788	14	1978	4570709
789	15	1978	56063269
790	16	1978	498000
791	17	1978	2492697
792	18	1978	3367538
793	19	1978	361753
794	20	1978	10670802
795	21	1978	308942
796	22	1978	13897874
797	23	1978	7571299
798	24	1978	34850200
799	25	1978	9507540
800	26	1978	21854622
801	27	1978	1852963
802	28	1978	4865605
803	29	1978	4746967
804	30	1978	8266936
805	31	1978	56183968
806	32	1978	222552
807	33	1978	4051208
808	34	1978	0
809	35	1978	1823151
810	36	1978	2542066
811	37	1978	0
812	38	1978	41996129
813	39	1978	4110203
814	40	1978	1506500
815	41	1978	0
816	42	1978	0
817	43	1978	0
818	1	1979	403662165
819	2	1979	459871204
820	3	1979	298772287
821	4	1979	9841654
822	5	1979	8805462
823	6	1979	10269012
824	7	1979	5111537
825	8	1979	61321663
826	9	1979	1464476
827	10	1979	3354700
828	11	1979	9512332
829	12	1979	37035719
830	13	1979	0
831	14	1979	4591460
832	15	1979	56247017
833	16	1979	501300
834	17	1979	2503145
835	18	1979	3391490
836	19	1979	362261
837	20	1979	10698841
838	21	1979	311421
839	22	1979	13985526
840	23	1979	7553310
841	24	1979	35081000
842	25	1979	9608960
843	26	1979	22048305
844	27	1979	1872133
845	28	1979	4914644
846	29	1979	4758088
847	30	1979	8284261
848	31	1979	56209039
849	32	1979	224522
850	33	1979	4066134
851	34	1979	0
852	35	1979	1849388
853	36	1979	2590466
854	37	1979	0
855	38	1979	42967253
856	39	1979	4157746
857	40	1979	1546000
858	41	1979	0
859	42	1979	0
860	43	1979	0
861	1	1980	405466907
862	2	1980	461751770
863	3	1980	300026000
864	4	1980	9855110
865	5	1980	8846417
866	6	1980	10315669
867	7	1980	5122065
868	8	1980	61439338
869	9	1980	1472190
870	10	1980	3392800
871	11	1980	9584184
872	12	1980	37346940
873	13	1980	0
874	14	1980	4598095
875	15	1980	56388480
876	16	1980	505800
877	17	1980	2508761
878	18	1980	3404194
879	19	1980	363450
880	20	1980	10709463
881	21	1980	315262
882	22	1980	14091014
883	23	1980	7545539
884	24	1980	35413434
885	25	1980	9713570
886	26	1980	22132670
887	27	1980	1893064
888	28	1980	4963301
889	29	1980	4771292
890	30	1980	8303094
891	31	1980	56284863
892	32	1980	226948
893	33	1980	4078900
894	34	1980	0
895	35	1980	1878067
896	36	1980	2645198
897	37	1980	0
898	38	1980	44021146
899	39	1980	4136941
900	40	1980	1560500
901	41	1980	0
902	42	1980	0
903	43	1980	0
904	1	1981	407369042
905	2	1981	463712611
906	3	1981	301426708
907	4	1981	9863374
908	5	1981	8876652
909	6	1981	10292717
910	7	1981	5123989
911	8	1981	61657952
912	9	1981	1482247
913	10	1981	3432800
914	11	1981	9700826
915	12	1981	37635389
916	13	1981	0
917	14	1981	4601469
918	15	1981	56479285
919	16	1981	512300
920	17	1981	2514640
921	18	1981	3422210
922	19	1981	364850
923	20	1981	10712781
924	21	1981	318028
925	22	1981	14208586
926	23	1981	7553326
927	24	1981	35734865
928	25	1981	9819054
929	26	1981	22281894
930	27	1981	1909566
931	28	1981	4996329
932	29	1981	4787778
933	30	1981	8317967
934	31	1981	56343569
935	32	1981	229327
936	33	1981	4092340
937	34	1981	0
938	35	1981	1904570
939	36	1981	2698795
940	37	1981	0
941	38	1981	45023450
942	39	1981	4114030
943	40	1981	1575000
944	41	1981	0
945	42	1981	0
946	43	1981	0
947	1	1982	408894651
948	2	1982	465218739
949	3	1982	302419395
950	4	1982	9854589
951	5	1982	8905581
952	6	1982	10308465
953	7	1982	5119155
954	8	1982	61712689
955	9	1982	1493085
956	10	1982	3473200
957	11	1982	9757874
958	12	1982	37881873
959	13	1982	55583694
960	14	1982	4621548
961	15	1982	56524064
962	16	1982	522845
963	17	1982	2524202
964	18	1982	3443684
965	19	1982	365600
966	20	1982	10710914
967	21	1982	319936
968	22	1982	14285829
969	23	1982	7584094
970	24	1982	36062309
971	25	1982	9883670
972	26	1982	22424246
973	27	1982	1903495
974	28	1982	5035881
975	29	1982	4812150
976	30	1982	8323038
977	31	1982	56324088
978	32	1982	232182
979	33	1982	4107063
980	34	1982	0
981	35	1982	1928856
982	36	1982	2753316
983	37	1982	0
984	38	1982	46085508
985	39	1982	4158361
986	40	1982	1612000
987	41	1982	0
988	42	1982	0
989	43	1982	0
990	1	1983	410107692
991	2	1983	466410886
992	3	1983	303140259
993	4	1983	9858017
994	5	1983	8929332
995	6	1983	10321186
996	7	1983	5116464
997	8	1983	61546101
998	9	1983	1503743
999	10	1983	3498400
1000	11	1983	9821152
1001	12	1983	38090151
