GEO,NRG_BAL,SIEC,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Italie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	12.368,336	13.673,981	15.331,374	15.714,641	13.536,181	13.058,829	12.299,680	10.983,003	9.341,797	8.541,603
Chypre,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	14,559	16,779	7,460	0,124	0,124	2,218	3,679	0,000	2,980	13,614
Lettonie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	84,612	106,504	109,635	90,975	70,895	58,864	46,258	40,313	40,385	45,233
Lituanie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	144,760	182,001	210,410	200,168	227,067	195,934	160,293	159,335	163,209	172,912
Luxembourg,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	66,908	67,036	58,361	53,730	47,910	53,393	49,137	52,384	45,331	42,131
Hongrie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	2.559,692	2.703,315	2.708,427	2.604,277	2.265,987	2.208,787	2.359,386	2.189,208	2.234,721	2.120,314
Malte,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Pays-Bas,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	7.461,870	7.541,217	7.439,357	8.152,076	8.124,700	9.006,792	10.915,406	10.145,971	9.147,550	8.212,418
Autriche,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	2.868,802	3.383,533	3.482,458	3.245,066	3.316,827	3.049,879	3.225,201	3.013,648	3.103,958	2.723,157
Pologne,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	51.172,610	55.222,218	54.638,924	50.261,754	53.190,541	49.272,847	48.374,764	49.536,593	49.672,001	49.249,589
Portugal,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	2.861,156	1.657,624	2.208,385	2.934,351	2.650,161	2.680,395	3.258,283	2.846,447	3.227,148	2.696,205
Roumanie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	7.519,507	6.948,709	8.092,644	7.560,015	5.708,308	5.727,532	5.892,232	5.277,933	5.388,666	5.046,953
Slovénie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	1.427,021	1.453,379	1.464,658	1.392,884	1.351,998	1.048,665	1.067,887	1.147,378	1.140,425	1.131,466
Slovaquie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	3.872,845	3.897,234	3.703,541	3.476,952	3.450,677	3.424,027	3.279,036	3.222,080	3.376,789	3.339,007
Finlande,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	3.535,801	4.586,783	3.948,281	2.994,989	3.787,742	3.070,445	2.702,357	3.167,676	2.840,599	2.754,301
Suède,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	1.583,081	2.139,284	2.159,931	1.940,820	1.986,522	1.932,970	1.980,216	1.906,102	1.910,165	2.011,338
